no,dev-id,alias,channel,mac_address,alias_info
75,ATK00162A8365E9,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Stock stb from ibs ancol",GOTV-Basic Lokal & International,00:16:2a:83:65:e9,Stock stb from ibs ancol
77,ATK00162A8365ED,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Stock stb from ibs ancol",GOTV-Basic Lokal & International,00:16:2a:83:65:ed,Stock stb from ibs ancol
79,ATK00162A836665,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Stock stb from ibs ancol",GOTV-Basic Lokal & International,00:16:2a:83:66:65,Stock stb from ibs ancol
76,ATK00162A836454,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Stock stb from ibs ancol",GOTV-Basic Lokal & International,00:16:2a:83:64:54,Stock stb from ibs ancol
69,ATK00162A83682E,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, IBS P.Bidadari | Cottage Senen 22",Provisioning,00:16:2a:83:68:2e,IBS P.Bidadari | Cottage Senen 22
67,ATK00162A8367F6,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, IBS P. Bidadari | Cottage Senen 21",Provisioning,00:16:2a:83:67:f6,IBS P. Bidadari | Cottage Senen 21
66,ATK00162A8367F5,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, IBS P. Bidadari | Cottage Cikini 36",Provisioning,00:16:2a:83:67:f5,IBS P. Bidadari | Cottage Cikini 36
70,ATK00162A83682C,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, IBS P.Bidadari | Cottage Tjondet 4",Provisioning,00:16:2a:83:68:2c,IBS P.Bidadari | Cottage Tjondet 4
71,ATK00162A83682D,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, WNI HTS-Ratriyani",12,00:16:2a:83:68:2d,WNI HTS-Ratriyani
63,ATK00162A836779,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Stock stb from ibs ancol",GOTV-Basic Lokal & International,00:16:2a:83:67:79,Stock stb from ibs ancol
62,ATK00162A8367F3,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Stock stb from ibs ancol",GOTV-Basic Lokal & International,00:16:2a:83:67:f3,Stock stb from ibs ancol
65,ATK00162A8367F4,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, IBS Bidadari | Kemayoran 2",Provisioning,00:16:2a:83:67:f4,IBS Bidadari | Kemayoran 2
61,ATK00162A836775,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Stock stb from ibs ancol",GOTV-Basic Lokal & International,00:16:2a:83:67:75,Stock stb from ibs ancol
78,ATK00162A836455,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Stock stb from ibs ancol",GOTV-Basic Lokal & International,00:16:2a:83:64:55,Stock stb from ibs ancol
58,ATK00162A836830,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, IBS P. Bidadari | Cottage Tjondet 5",Provisioning,00:16:2a:83:68:30,IBS P. Bidadari | Cottage Tjondet 5
68,ATK00162A8367F0,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, IBS P. Bidadari | Kemayoran 6",Provisioning,00:16:2a:83:67:f0,IBS P. Bidadari | Kemayoran 6
57,ATK00162A836832,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, IBS P. Bidadari | Cottage Cikini 35",Provisioning,00:16:2a:83:68:32,IBS P. Bidadari | Cottage Cikini 35
56,ATK00162A836834,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, IBS P. Bidadari | Cottage Cikini 34",Provisioning,00:16:2a:83:68:34,IBS P. Bidadari | Cottage Cikini 34
59,ATK00162A836814,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, IBS P. Bidadari | Cottage Menteng 10",Provisioning,00:16:2a:83:68:14,IBS P. Bidadari | Cottage Menteng 10
64,ATK00162A836778,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, stock stb from ibs, ancol",GOTV-Basic Lokal & International,00:16:2a:83:67:78,"stock stb from ibs, ancol"
54,ATK00162A836835,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, IBS P. Bidadari | Cottage Senen 23",Provisioning,00:16:2a:83:68:35,IBS P. Bidadari | Cottage Senen 23
86,ATK00162A836507,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Stock stb from ibs ancol",GOTV-Basic Lokal & International,00:16:2a:83:65:07,Stock stb from ibs ancol
